generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.517553,3887717,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.193994,0.411234,false,,
1,1,0.500341,9896325,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.198055,0.411234,false,,
1,2,0.450853,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.307299,0.411234,false,,
1,3,0.486193,4436805,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.210659,0.411234,false,,
1,4,0.511694,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.106674,0.411234,false,,
1,5,0.498285,9587077,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.229934,0.411234,false,,
1,6,0.477087,9967493,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.245505,0.411234,false,,
1,7,0.468600,820933,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.269963,0.411234,false,,
1,8,0.504299,14604549,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.230298,0.411234,false,,
1,9,0.484451,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.247563,0.411234,false,,
1,10,0.485953,1978821,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.227855,0.411234,false,,
1,11,0.469552,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.213410,0.411234,false,,
1,12,0.479833,2281669,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.240737,0.411234,false,,
1,13,0.411234,22725,4,[32/k1→64/k1→32/k3→32/k1],0.369035,0.411234,false,,
1,14,0.491384,1754053,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.220852,0.411234,false,,
1,15,0.462464,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.266320,0.411234,false,,
2,0,0.431233,22725,4,[32/k1→64/k1→32/k3→32/k1],0.324752,0.411234,true,champion,13
2,1,0.494922,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.194285,0.411234,false,weights,2
2,2,0.549118,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.182691,0.411234,false,weights,2
2,3,0.529406,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.088848,0.411234,false,weights,9
2,4,0.527360,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.092894,0.411234,false,weights,9
2,5,0.548350,6088837,6,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1],0.134166,0.411234,false,remove_layer,9
2,6,0.517430,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.190750,0.411234,false,weights,2
2,7,0.430652,43333,4,[32/k1→128/k1→32/k3→32/k1],0.311296,0.411234,false,resize_layer,13
2,8,0.536826,2281669,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.115642,0.411234,false,weights,12
2,9,0.537743,4059845,7,[768/k3→512/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.123626,0.411234,false,resize_layer,12
2,10,0.439995,315525,4,[32/k1→64/k1→512/k3→32/k1],0.310867,0.411234,false,resize_layer,13
2,11,0.506680,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.088797,0.411234,false,weights,11
2,12,0.521281,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.092225,0.411234,false,weights,9
2,13,0.430856,22725,4,[32/k1→64/k1→32/k3→32/k1],0.326847,0.411234,false,weights,13
2,14,0.529236,9967493,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.111719,0.411234,false,weights,6
2,15,0.524000,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.148926,0.411234,false,weights,15
3,0,0.465238,43333,4,[32/k1→128/k1→32/k3→32/k1],0.267635,0.411234,true,champion,7
3,1,0.448608,22725,4,[32/k1→64/k1→32/k3→32/k1],0.298775,0.411234,false,weights,0
3,2,0.491024,315525,4,[32/k1→64/k1→512/k3→32/k1],0.218625,0.411234,false,weights,10
3,3,0.484500,315525,4,[32/k1→64/k1→512/k3→32/k1],0.215632,0.411234,false,weights,10
3,4,0.442401,22725,4,[32/k1→64/k1→32/k3→32/k1],0.298922,0.411234,false,weights,13
3,5,0.515343,2584965,5,[768/k3→1024/k1→128/k3→64/k1→768/k3],0.054410,0.411234,false,resize_layer,11
