generation,individual,val_loss,n_params,n_layers,architecture
1,0,0.465540,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
1,1,0.454164,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
1,2,0.436798,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
1,3,0.497085,911365,8,[64/k1→32/k1→128/k1→64/k1→256/k3→256/k3→64/k3→128/k1]
1,4,0.486832,1056773,9,[128/k1→512/k1→512/k1→64/k3→256/k3→512/k1→128/k1→64/k1→128/k3]
1,5,0.464140,744421,6,[32/k1→512/k3→64/k3→256/k3→64/k3→64/k1]
1,6,0.477961,5025413,9,[512/k3→512/k3→512/k3→128/k1→64/k3→32/k1→32/k1→64/k3→512/k1]
1,7,0.474865,1871109,7,[256/k3→512/k3→512/k1→32/k3→128/k1→128/k3→64/k3]
2,0,0.486892,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
2,1,0.514400,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
2,2,0.516641,744421,6,[32/k1→512/k3→64/k3→256/k3→64/k3→64/k1]
2,3,0.502645,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
2,4,0.535628,1871109,7,[256/k3→512/k3→512/k1→32/k3→128/k1→128/k3→64/k3]
2,5,0.513457,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
2,6,0.529394,1756165,6,[256/k3→512/k3→512/k1→32/k3→128/k3→64/k3]
2,7,0.469365,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
3,0,0.517714,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
3,1,0.508424,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
3,2,0.524463,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
3,3,0.525852,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
3,4,0.535907,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
3,5,0.421957,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
3,6,0.463898,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
3,7,0.533921,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
