generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.448447,3887717,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.420971,0.399008,false,,
1,1,0.409837,9896325,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.380788,0.399008,false,,
1,2,0.444070,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.435433,0.399008,false,,
1,3,0.420551,4436805,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.391182,0.399008,false,,
1,4,0.408260,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.342881,0.399008,false,,
1,5,0.451831,9587077,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.443279,0.399008,false,,
1,6,0.418651,9967493,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.409365,0.399008,false,,
1,7,0.401955,820933,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.377108,0.399008,false,,
1,8,0.436014,14604549,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.432548,0.399008,false,,
1,9,0.411478,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.389205,0.399008,false,,
1,10,0.440779,1978821,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.422880,0.399008,false,,
1,11,0.402490,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.370417,0.399008,false,,
1,12,0.425661,2281669,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.397326,0.399008,false,,
1,13,0.481246,22725,4,[32/k1→64/k1→32/k3→32/k1],0.482875,0.399008,false,,
1,14,0.402160,1754053,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.377184,0.399008,false,,
1,15,0.402194,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.386612,0.399008,false,,
1,16,0.416228,1446469,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.391868,0.399008,false,,
1,17,0.429383,991973,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.402928,0.399008,false,,
1,18,0.409798,3003653,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.381762,0.399008,false,,
1,19,0.400191,601925,4,[512/k1→1024/k1→32/k1→768/k1],0.373702,0.399008,false,,
1,20,0.427467,2823653,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.406844,0.399008,false,,
1,21,0.409270,905413,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.374696,0.399008,false,,
1,22,0.399504,515589,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.357731,0.399008,false,,
1,23,0.453605,6407557,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.452962,0.399008,false,,
1,24,0.426283,2275909,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.409510,0.399008,false,,
1,25,0.403507,6370373,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.373699,0.399008,false,,
1,26,0.403374,394885,4,[128/k3→1024/k1→128/k1→768/k1],0.366049,0.399008,false,,
1,27,0.414540,2987301,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.399085,0.399008,false,,
1,28,0.419456,4217925,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.394124,0.399008,false,,
1,29,0.416177,5222469,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.382495,0.399008,false,,
1,30,0.412232,1120677,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.375689,0.399008,false,,
1,31,0.495185,14564613,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.500913,0.399008,false,,
1,32,0.429848,6073605,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.420328,0.399008,false,,
1,33,0.399092,2422021,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.377303,0.399008,false,,
1,34,0.436275,1050277,9,[32/k3→512/k3→32/k1→768/k3→64/k1→64/k1→32/k1→256/k1→256/k3],0.415193,0.399008,false,,
1,35,0.429155,16280837,9,[512/k1→768/k3→256/k3→64/k1→768/k1→1024/k1→1024/k3→64/k1→1024/k3],0.421619,0.399008,false,,
1,36,0.408071,3168261,4,[512/k1→1024/k1→256/k1→1024/k3],0.396787,0.399008,false,,
1,37,0.538912,34153605,9,[512/k3→1024/k3→512/k3→1024/k3→64/k3→256/k3→1024/k1→1024/k3→1024/k3],0.544298,0.399008,false,,
1,38,0.409236,2508741,9,[64/k3→256/k1→768/k3→64/k3→128/k3→512/k1→64/k1→64/k3→768/k1],0.372440,0.399008,false,,
1,39,0.414485,3562309,9,[64/k1→256/k3→128/k3→256/k1→64/k3→256/k1→1024/k3→256/k1→128/k3],0.390441,0.399008,false,,
1,40,0.410743,10744261,10,[256/k3→512/k1→256/k1→128/k3→256/k1→256/k3→768/k3→768/k1→1024/k3→64/k1],0.368465,0.399008,false,,
1,41,0.413234,570437,7,[512/k1→32/k3→64/k3→64/k1→128/k3→128/k1→256/k3],0.397080,0.399008,false,,
1,42,0.402147,1741189,6,[1024/k3→128/k3→128/k1→256/k1→768/k1→128/k1],0.379108,0.399008,false,,
1,43,0.426013,2057509,9,[32/k1→1024/k1→64/k1→1024/k1→512/k1→64/k1→256/k1→512/k1→256/k3],0.397438,0.399008,false,,
1,44,0.424034,1474821,10,[128/k1→512/k1→1024/k1→128/k1→512/k1→128/k3→256/k1→32/k1→32/k3→1024/k1],0.315912,0.399008,false,,
1,45,0.428791,2646981,10,[512/k1→128/k3→768/k3→32/k3→32/k3→1024/k3→32/k3→128/k3→768/k1→256/k1],0.421382,0.399008,false,,
1,46,0.450729,7825541,9,[512/k3→512/k3→256/k3→1024/k3→128/k1→1024/k1→128/k3→64/k3→512/k3],0.444404,0.399008,false,,
1,47,0.436814,2703013,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.431047,0.399008,false,,
1,48,0.469399,8339013,8,[768/k3→512/k1→512/k1→32/k1→768/k3→256/k1→768/k3→768/k3],0.471388,0.399008,false,,
1,49,0.428557,2161861,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.420354,0.399008,false,,
1,50,0.411428,1174341,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.386109,0.399008,false,,
1,51,0.420073,113157,5,[64/k3→128/k3→32/k1→128/k1→128/k1],0.407270,0.399008,false,,
1,52,0.453450,5402949,6,[32/k1→128/k1→32/k3→768/k1→768/k3→32/k1],0.438225,0.399008,false,,
1,53,0.419449,804581,8,[128/k3→256/k3→128/k1→32/k3→1024/k3→32/k1→256/k3→32/k1],0.385048,0.399008,false,,
1,54,0.448935,4767941,5,[64/k3→32/k1→32/k3→512/k1→1024/k3],0.450253,0.399008,false,,
1,55,0.399008,4026245,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.376562,0.399008,false,,
1,56,0.419955,1991109,5,[64/k1→512/k1→64/k1→256/k3→768/k3],0.393429,0.399008,false,,
1,57,0.410705,987749,6,[32/k1→128/k3→768/k3→32/k1→128/k1→256/k1],0.382744,0.399008,false,,
1,58,0.429888,2825477,8,[64/k1→128/k1→32/k1→64/k3→512/k3→256/k1→256/k3→768/k3],0.413522,0.399008,false,,
1,59,0.407995,2748133,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.359774,0.399008,false,,
1,60,0.432774,10511877,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.428980,0.399008,false,,
1,61,0.401423,967045,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.373730,0.399008,false,,
1,62,0.461327,10479685,10,[64/k3→256/k3→128/k3→1024/k1→256/k1→128/k3→128/k1→1024/k3→1024/k1→768/k3],0.457016,0.399008,false,,
1,63,0.408214,7464869,7,[32/k1→512/k3→512/k3→768/k3→1024/k1→64/k3→512/k1],0.385470,0.399008,false,,
2,0,0.398151,4026245,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.317725,0.393089,true,champion,55
2,1,0.402660,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.351523,0.393089,false,weights,11
2,2,0.409445,601925,4,[512/k1→1024/k1→32/k1→768/k1],0.310419,0.393089,false,weights,19
2,3,0.402156,1758277,7,[768/k3→64/k1→64/k1→768/k3→64/k3→1024/k3→64/k1],0.330233,0.393089,false,add_layer,14
2,4,0.399267,3168261,4,[512/k1→1024/k1→256/k1→1024/k3],0.359590,0.393089,false,weights,36
2,5,0.409564,601925,4,[512/k1→1024/k1→32/k1→768/k1],0.302071,0.393089,false,weights,19
2,6,0.402194,967045,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.349660,0.393089,false,weights,61
2,7,0.393089,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.360147,0.393089,false,weights,15
2,8,0.415226,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.312529,0.393089,false,weights,4
2,9,0.414878,2748133,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.294517,0.393089,false,weights,59
2,10,0.398800,1593669,5,[64/k3→768/k3→128/k3→128/k3→768/k1],0.361458,0.393089,false,remove_layer,61
2,11,0.400496,3168261,4,[512/k1→1024/k1→256/k1→1024/k3],0.356670,0.393089,false,weights,36
2,12,0.393845,1183749,3,[768/k3→128/k3→1024/k1],0.370545,0.393089,false,remove_layer,15
2,13,0.439993,1153477,4,[768/k3→512/k1→128/k3→64/k1],0.408102,0.393089,false,remove_layer,11
2,14,0.405262,902597,5,[64/k3→768/k1→512/k1→64/k3→256/k3],0.361367,0.393089,false,remove_layer,4
2,15,0.422431,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.291742,0.393089,false,weights,4
2,16,0.412620,2748133,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.301322,0.393089,false,weights,59
2,17,0.404680,7722629,6,[1024/k3→768/k3→128/k1→256/k1→768/k1→128/k1],0.314942,0.393089,false,resize_layer,42
2,18,0.409765,2748133,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.301194,0.393089,false,weights,59
2,19,0.397990,2422021,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.352268,0.393089,false,weights,33
2,20,0.418010,2748133,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.265207,0.393089,false,weights,59
2,21,0.404293,967045,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.343762,0.393089,false,weights,61
