generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.501457,3887717,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.206214,0.407786,false,,
1,1,0.526242,9896325,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.142261,0.407786,false,,
1,2,0.434284,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.349150,0.407786,false,,
1,3,0.483973,4436805,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.199003,0.407786,false,,
1,4,0.527623,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.124356,0.407786,false,,
1,5,0.479428,9587077,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.239830,0.407786,false,,
1,6,0.467005,9967493,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.276195,0.407786,false,,
1,7,0.442462,820933,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.262149,0.407786,false,,
1,8,0.526013,14604549,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.182315,0.407786,false,,
1,9,0.480150,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.232854,0.407786,false,,
1,10,0.496985,1978821,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.216224,0.407786,false,,
1,11,0.476999,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.215504,0.407786,false,,
1,12,0.432619,2281669,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.267219,0.407786,false,,
1,13,0.413138,22725,4,[32/k1→64/k1→32/k3→32/k1],0.384318,0.407786,false,,
1,14,0.476359,1754053,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.210917,0.407786,false,,
1,15,0.438443,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.285701,0.407786,false,,
1,16,0.506123,1446469,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.215647,0.407786,false,,
1,17,0.519530,991973,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.219613,0.407786,false,,
1,18,0.484195,3003653,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.225268,0.407786,false,,
1,19,0.431629,601925,4,[512/k1→1024/k1→32/k1→768/k1],0.266495,0.407786,false,,
1,20,0.502930,2823653,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.164726,0.407786,false,,
1,21,0.522049,905413,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.200361,0.407786,false,,
1,22,0.461670,515589,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.212079,0.407786,false,,
1,23,0.475734,6407557,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.256187,0.407786,false,,
1,24,0.514759,2275909,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.301824,0.407786,false,,
1,25,0.485960,6370373,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.206876,0.407786,false,,
1,26,0.453808,394885,4,[128/k3→1024/k1→128/k1→768/k1],0.232160,0.407786,false,,
1,27,0.515669,2987301,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.208329,0.407786,false,,
1,28,0.483815,4217925,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.217093,0.407786,false,,
1,29,0.548531,5222469,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.160096,0.407786,false,,
1,30,0.499484,1120677,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.151369,0.407786,false,,
1,31,0.410967,14564613,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.369425,0.407786,false,,
1,32,0.485370,6073605,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.237324,0.407786,false,,
