generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.661065,3897285,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.784217,0.478143,false,,
1,1,0.543147,10068549,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.600956,0.478143,false,,
1,2,0.600269,14419077,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.684361,0.478143,false,,
1,3,0.603320,6503493,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.649264,0.478143,false,,
1,4,0.515025,1337989,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.572392,0.478143,false,,
1,5,0.528141,9816709,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.589875,0.478143,false,,
1,6,0.534361,12034181,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.585730,0.478143,false,,
1,7,0.515969,2198725,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.585730,0.478143,false,,
1,8,0.662518,14690661,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.714597,0.478143,false,,
1,9,0.585467,6846213,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.651195,0.478143,false,,
1,10,0.656536,1997957,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.763683,0.478143,false,,
1,11,0.498593,3667589,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.549904,0.478143,false,,
1,12,0.561977,4348357,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.671082,0.478143,false,,
1,13,0.624937,32293,4,[32/k1→64/k1→32/k3→32/k1],0.726640,0.478143,false,,
1,14,0.509943,3820741,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.561299,0.478143,false,,
1,15,0.478143,3676933,4,[768/k3→128/k3→256/k3→1024/k1],0.529162,0.478143,false,,
1,16,0.542857,1676101,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.627329,0.478143,false,,
1,17,0.665623,1078085,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.708539,0.478143,false,,
1,18,0.670179,5759237,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.715374,0.478143,false,,
1,19,0.479226,755013,4,[512/k1→1024/k1→32/k1→768/k1],0.547595,0.478143,false,,
1,20,0.532554,2833221,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.604717,0.478143,false,,
1,21,0.613748,1077637,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.696102,0.478143,false,,
1,22,0.502535,553861,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.563587,0.478143,false,,
1,23,0.639175,9163141,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.691436,0.478143,false,,
1,24,0.564253,2964805,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.627014,0.478143,false,,
1,25,0.527279,8437061,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.607357,0.478143,false,,
1,26,0.490168,739333,4,[128/k3→1024/k1→128/k1→768/k1],0.550535,0.478143,false,,
1,27,0.583004,3073413,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.667964,0.478143,false,,
1,28,0.534827,4237061,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.597332,0.478143,false,,
1,29,0.544250,5528645,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.654346,0.478143,false,,
1,30,0.575377,1158949,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.675379,0.478143,false,,
1,31,0.552416,14641157,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.591396,0.478143,false,,
1,32,0.626639,6762501,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.687813,0.478143,false,,
1,33,0.492091,3110917,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.550525,0.478143,false,,
1,34,0.646548,1136389,9,[32/k3→512/k3→32/k1→768/k3→64/k1→64/k1→32/k1→256/k1→256/k3],0.730874,0.478143,false,,
1,35,0.543557,16433925,9,[512/k1→768/k3→256/k3→64/k1→768/k1→1024/k1→1024/k3→64/k1→1024/k3],0.634544,0.478143,false,,
1,36,0.478682,3321349,4,[512/k1→1024/k1→256/k1→1024/k3],0.524301,0.478143,false,,
1,37,0.651259,35531397,9,[512/k3→1024/k3→512/k3→1024/k3→64/k3→256/k3→1024/k1→1024/k3→1024/k3],0.686257,0.478143,false,,
1,38,0.575433,2680965,9,[64/k3→256/k1→768/k3→64/k3→128/k3→512/k1→64/k1→64/k3→768/k1],0.651581,0.478143,false,,
1,39,0.612767,3581445,9,[64/k1→256/k3→128/k3→256/k1→64/k3→256/k1→1024/k3→256/k1→128/k3],0.677075,0.478143,false,,
1,40,0.594909,11433157,10,[256/k3→512/k1→256/k1→128/k3→256/k1→256/k3→768/k3→768/k1→1024/k3→64/k1],0.653440,0.478143,false,,
1,41,0.526860,723525,7,[512/k1→32/k3→64/k3→64/k1→128/k3→128/k1→256/k3],0.574163,0.478143,false,,
1,42,0.509615,4496773,6,[1024/k3→128/k3→128/k1→256/k1→768/k1→128/k1],0.569657,0.478143,false,,
1,43,0.570265,2067077,9,[32/k1→1024/k1→64/k1→1024/k1→512/k1→64/k1→256/k1→512/k1→256/k3],0.628752,0.478143,false,,
1,44,0.598644,1513093,10,[128/k1→512/k1→1024/k1→128/k1→512/k1→128/k3→256/k1→32/k1→32/k3→1024/k1],0.691601,0.478143,false,,
1,45,0.584848,2800069,10,[512/k1→128/k3→768/k3→32/k3→32/k3→1024/k3→32/k3→128/k3→768/k1→256/k1],0.672083,0.478143,false,,
1,46,0.574470,9203333,9,[512/k3→512/k3→256/k3→1024/k3→128/k1→1024/k1→128/k3→64/k3→512/k3],0.653383,0.478143,false,,
1,47,0.542526,2789125,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.604278,0.478143,false,,
1,48,0.559644,10405701,8,[768/k3→512/k1→512/k1→32/k1→768/k3→256/k1→768/k3→768/k3],0.614722,0.478143,false,,
1,49,0.527994,2468037,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.564822,0.478143,false,,
1,50,0.542689,3241029,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.639492,0.478143,false,,
1,51,0.535932,285381,5,[64/k3→128/k3→32/k1→128/k1→128/k1],0.645949,0.478143,false,,
1,52,0.595662,5412517,6,[32/k1→128/k1→32/k3→768/k1→768/k3→32/k1],0.680073,0.478143,false,,
1,53,0.590417,1149029,8,[128/k3→256/k3→128/k1→32/k3→1024/k3→32/k1→256/k3→32/k1],0.684721,0.478143,false,,
1,54,0.602925,4940165,5,[64/k3→32/k1→32/k3→512/k1→1024/k3],0.687821,0.478143,false,,
1,55,0.501969,4715141,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.559301,0.478143,false,,
1,56,0.530899,2010245,5,[64/k1→512/k1→64/k1→256/k3→768/k3],0.605467,0.478143,false,,
1,57,0.546873,997317,6,[32/k1→128/k3→768/k3→32/k1→128/k1→256/k1],0.658331,0.478143,false,,
1,58,0.638685,2844613,8,[64/k1→128/k1→32/k1→64/k3→512/k3→256/k1→256/k3→768/k3],0.701431,0.478143,false,,
