generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.689131,3887717,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.646346,0.414683,false,,
1,1,0.518046,9896325,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.449791,0.414683,false,,
1,2,0.506209,14380805,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.467177,0.414683,false,,
1,3,0.499350,4436805,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.469413,0.414683,false,,
1,4,0.477808,1165765,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.438768,0.414683,false,,
1,5,0.443744,9587077,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.439135,0.414683,false,,
1,6,0.447970,9967493,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.444399,0.414683,false,,
1,7,0.480130,820933,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.461761,0.414683,false,,
1,8,0.508671,14604549,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.458718,0.414683,false,,
1,9,0.481884,6673989,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.457443,0.414683,false,,
1,10,0.579487,1978821,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.518472,0.414683,false,,
1,11,0.448380,1600901,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.421693,0.414683,false,,
1,12,0.523035,2281669,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.481770,0.414683,false,,
1,13,0.679097,22725,4,[32/k1→64/k1→32/k3→32/k1],0.677639,0.414683,false,,
1,14,0.449643,1754053,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.432671,0.414683,false,,
1,15,0.433948,1610245,4,[768/k3→128/k3→256/k3→1024/k1],0.421410,0.414683,false,,
1,16,0.543223,1446469,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.493034,0.414683,false,,
1,17,0.585381,991973,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.528394,0.414683,false,,
1,18,0.552847,3003653,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.496609,0.414683,false,,
1,19,0.460910,601925,4,[512/k1→1024/k1→32/k1→768/k1],0.456661,0.414683,false,,
1,20,0.471302,2823653,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.447884,0.414683,false,,
1,21,0.532045,905413,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.485748,0.414683,false,,
1,22,0.477644,515589,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.456757,0.414683,false,,
1,23,0.466819,6407557,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.451686,0.414683,false,,
1,24,0.499606,2275909,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.466730,0.414683,false,,
1,25,0.473180,6370373,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.422846,0.414683,false,,
1,26,0.464133,394885,4,[128/k3→1024/k1→128/k1→768/k1],0.457400,0.414683,false,,
1,27,0.538422,2987301,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.470669,0.414683,false,,
1,28,0.438270,4217925,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.435993,0.414683,false,,
1,29,0.536622,5222469,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.500039,0.414683,false,,
1,30,0.587039,1120677,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.501447,0.414683,false,,
1,31,0.414683,14564613,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.420581,0.414683,false,,
1,32,0.449305,6073605,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.413651,0.414683,false,,
1,33,0.441818,2422021,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.412674,0.414683,false,,
1,34,0.541454,1050277,9,[32/k3→512/k3→32/k1→768/k3→64/k1→64/k1→32/k1→256/k1→256/k3],0.507689,0.414683,false,,
1,35,0.455094,16280837,9,[512/k1→768/k3→256/k3→64/k1→768/k1→1024/k1→1024/k3→64/k1→1024/k3],0.428436,0.414683,false,,
1,36,0.426292,3168261,4,[512/k1→1024/k1→256/k1→1024/k3],0.400454,0.414683,false,,
1,37,0.565916,34153605,9,[512/k3→1024/k3→512/k3→1024/k3→64/k3→256/k3→1024/k1→1024/k3→1024/k3],0.555150,0.414683,false,,
1,38,0.556026,2508741,9,[64/k3→256/k1→768/k3→64/k3→128/k3→512/k1→64/k1→64/k3→768/k1],0.481964,0.414683,false,,
1,39,0.477477,3562309,9,[64/k1→256/k3→128/k3→256/k1→64/k3→256/k1→1024/k3→256/k1→128/k3],0.447500,0.414683,false,,
1,40,0.461406,10744261,10,[256/k3→512/k1→256/k1→128/k3→256/k1→256/k3→768/k3→768/k1→1024/k3→64/k1],0.424150,0.414683,false,,
1,41,0.486552,570437,7,[512/k1→32/k3→64/k3→64/k1→128/k3→128/k1→256/k3],0.479970,0.414683,false,,
