generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.534938,3889189,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.469393,0.389426,false,,
1,1,0.433643,9922821,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.325583,0.389426,false,,
1,2,0.454814,14386693,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.270917,0.389426,false,,
1,3,0.455541,4754757,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.264572,0.389426,false,,
1,4,0.411562,1192261,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.338304,0.389426,false,,
1,5,0.432491,9622405,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.257131,0.389426,false,,
1,6,0.394789,10285445,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.304638,0.389426,false,,
1,7,0.426117,1032901,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.381452,0.389426,false,,
1,8,0.485918,14617797,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.389979,0.389426,false,,
1,9,0.419333,6700485,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.361460,0.389426,false,,
1,10,0.448947,1981765,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.374275,0.389426,false,,
1,11,0.402457,1918853,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.301909,0.389426,false,,
1,12,0.411370,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.353435,0.389426,false,,
1,13,0.651698,24197,4,[32/k1→64/k1→32/k3→32/k1],0.653705,0.389426,false,,
1,14,0.415674,2072005,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.363188,0.389426,false,,
1,15,0.389426,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.330112,0.389426,false,,
1,16,0.418751,1481797,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.359596,0.389426,false,,
1,17,0.458589,1005221,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.401511,0.389426,false,,
1,18,0.412136,3427589,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.323512,0.389426,false,,
1,19,0.420689,625477,4,[512/k1→1024/k1→32/k1→768/k1],0.391406,0.389426,false,,
1,20,0.483963,2825125,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.375012,0.389426,false,,
1,21,0.421406,931909,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.380721,0.389426,false,,
1,22,0.442646,521477,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.404380,0.389426,false,,
1,23,0.408198,6831493,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.326118,0.389426,false,,
1,24,0.422969,2381893,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.324706,0.389426,false,,
1,25,0.420431,6688325,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.244320,0.389426,false,,
1,26,0.429917,447877,4,[128/k3→1024/k1→128/k1→768/k1],0.401701,0.389426,false,,
1,27,0.445048,3000549,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.326392,0.389426,false,,
1,28,0.446651,4220869,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.300909,0.389426,false,,
1,29,0.470316,5269573,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.301371,0.389426,false,,
1,30,0.496717,1126565,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.461443,0.389426,false,,
1,31,0.399143,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.305835,0.389426,false,,
1,32,0.425128,6179589,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.254735,0.389426,false,,
1,33,0.410820,2528005,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.292024,0.389426,false,,
1,34,0.453610,1063525,9,[32/k3→512/k3→32/k1→768/k3→64/k1→64/k1→32/k1→256/k1→256/k3],0.406509,0.389426,false,,
1,35,0.413582,16304389,9,[512/k1→768/k3→256/k3→64/k1→768/k1→1024/k1→1024/k3→64/k1→1024/k3],0.276620,0.389426,false,,
1,36,0.425328,3191813,4,[512/k1→1024/k1→256/k1→1024/k3],0.284464,0.389426,false,,
1,37,0.456402,34365573,9,[512/k3→1024/k3→512/k3→1024/k3→64/k3→256/k3→1024/k1→1024/k3→1024/k3],0.444753,0.389426,false,,
1,38,0.423041,2535237,9,[64/k3→256/k1→768/k3→64/k3→128/k3→512/k1→64/k1→64/k3→768/k1],0.364850,0.389426,false,,
1,39,0.451573,3565253,9,[64/k1→256/k3→128/k3→256/k1→64/k3→256/k1→1024/k3→256/k1→128/k3],0.302846,0.389426,false,,
1,40,0.451152,10850245,10,[256/k3→512/k1→256/k1→128/k3→256/k1→256/k3→768/k3→768/k1→1024/k3→64/k1],0.214052,0.389426,false,,
1,41,0.428703,593989,7,[512/k1→32/k3→64/k3→64/k1→128/k3→128/k1→256/k3],0.381640,0.389426,false,,
1,42,0.400189,2165125,6,[1024/k3→128/k3→128/k1→256/k1→768/k1→128/k1],0.337852,0.389426,false,,
1,43,0.519780,2058981,9,[32/k1→1024/k1→64/k1→1024/k1→512/k1→64/k1→256/k1→512/k1→256/k3],0.336380,0.389426,false,,
1,44,0.470204,1480709,10,[128/k1→512/k1→1024/k1→128/k1→512/k1→128/k3→256/k1→32/k1→32/k3→1024/k1],0.298206,0.389426,false,,
1,45,0.436319,2670533,10,[512/k1→128/k3→768/k3→32/k3→32/k3→1024/k3→32/k3→128/k3→768/k1→256/k1],0.324708,0.389426,false,,
1,46,0.451051,8037509,9,[512/k3→512/k3→256/k3→1024/k3→128/k1→1024/k1→128/k3→64/k3→512/k3],0.194481,0.389426,false,,
1,47,0.410132,2716261,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.381310,0.389426,false,,
1,48,0.433255,8656965,8,[768/k3→512/k1→512/k1→32/k1→768/k3→256/k1→768/k3→768/k3],0.277316,0.389426,false,,
1,49,0.399933,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.335350,0.389426,false,,
1,50,0.413022,1492293,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.368037,0.389426,false,,
1,51,0.508167,139653,5,[64/k3→128/k3→32/k1→128/k1→128/k1],0.504601,0.389426,false,,
1,52,0.549807,5404421,6,[32/k1→128/k1→32/k3→768/k1→768/k3→32/k1],0.497385,0.389426,false,,
1,53,0.465272,857573,8,[128/k3→256/k3→128/k1→32/k3→1024/k3→32/k1→256/k3→32/k1],0.409298,0.389426,false,,
1,54,0.446491,4794437,5,[64/k3→32/k1→32/k3→512/k1→1024/k3],0.419728,0.389426,false,,
1,55,0.406062,4132229,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.281149,0.389426,false,,
1,56,0.466416,1994053,5,[64/k1→512/k1→64/k1→256/k3→768/k3],0.377169,0.389426,false,,
1,57,0.478692,989221,6,[32/k1→128/k3→768/k3→32/k1→128/k1→256/k1],0.456596,0.389426,false,,
1,58,0.498445,2828421,8,[64/k1→128/k1→32/k1→64/k3→512/k3→256/k1→256/k3→768/k3],0.378848,0.389426,false,,
1,59,0.432862,2960101,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.311646,0.389426,false,,
1,60,0.395879,10547205,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.265291,0.389426,false,,
1,61,0.410406,993541,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.377449,0.389426,false,,
1,62,0.455116,10506181,10,[64/k3→256/k3→128/k3→1024/k1→256/k1→128/k3→128/k1→1024/k3→1024/k1→768/k3],0.277610,0.389426,false,,
1,63,0.453864,7466341,7,[32/k1→512/k3→512/k3→768/k3→1024/k1→64/k3→512/k1],0.293928,0.389426,false,,
2,0,0.423692,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.196402,0.389426,true,champion,15
2,1,0.439409,2716261,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.221924,0.389426,false,weights,47
2,2,0.444297,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.153468,0.389426,false,weights,31
2,3,0.461975,4395397,8,[256/k3→1024/k3→128/k1→512/k1→512/k1→1024/k1→768/k1→128/k1],0.115484,0.389426,false,add_layer,55
2,4,0.464379,1192261,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.187119,0.389426,false,weights,4
2,5,0.427949,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.188884,0.389426,false,weights,31
2,6,0.446378,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.199140,0.389426,false,weights,49
2,7,0.461794,6831493,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.151395,0.389426,false,weights,23
2,8,0.459879,1492293,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.182117,0.389426,false,weights,50
2,9,0.446041,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.188207,0.389426,false,weights,12
2,10,0.408752,2165829,6,[1024/k1→32/k3→768/k1→128/k3→256/k3→256/k3],0.291929,0.389426,false,remove_layer,49
2,11,0.485933,1192261,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.163056,0.389426,false,weights,4
2,12,0.464525,5957509,8,[1024/k3→768/k1→64/k3→32/k1→128/k3→512/k1→768/k3→64/k3],0.249495,0.389426,false,remove_layer,23
2,13,0.406444,1018469,5,[32/k3→1024/k3→64/k3→64/k3→128/k3],0.353005,0.389426,false,remove_layer,47
2,14,0.400807,1500421,5,[768/k3→128/k3→128/k1→128/k1→768/k1],0.358186,0.389426,false,remove_layer,50
2,15,0.449825,1492293,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.188090,0.389426,false,weights,50
2,16,0.443493,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.192327,0.389426,false,weights,12
2,17,0.450494,2410885,5,[768/k3→768/k1→128/k3→64/k1→768/k3],0.166833,0.389426,false,resize_layer,11
2,18,0.446813,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.181018,0.389426,false,weights,12
2,19,0.458802,10285445,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.165422,0.389426,false,weights,6
2,20,0.451278,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.177907,0.389426,false,weights,12
2,21,0.454083,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.193285,0.389426,false,weights,49
2,22,0.406065,845829,5,[64/k3→768/k3→32/k3→128/k3→768/k1],0.357501,0.389426,false,remove_layer,61
2,23,0.438016,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.145642,0.389426,false,weights,31
2,24,0.454356,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.205055,0.389426,false,weights,49
2,25,0.444898,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.209953,0.389426,false,weights,49
2,26,0.476897,6831493,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.135506,0.389426,false,weights,23
2,27,0.394810,8191237,4,[768/k1→1024/k3→512/k1→1024/k1],0.253604,0.389426,false,remove_layer,60
2,28,0.440792,2928325,7,[768/k3→256/k3→32/k1→64/k1→128/k1→1024/k1→512/k1],0.162757,0.389426,false,resize_layer,12
2,29,0.445709,208581,5,[128/k3→128/k1→32/k1→128/k1→768/k1],0.431776,0.389426,false,remove_layer,50
2,30,0.431065,10547205,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.143785,0.389426,false,weights,60
2,31,0.508624,1830853,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→32/k3],0.432345,0.389426,false,resize_layer,47
2,32,0.471381,1640005,6,[64/k3→768/k1→512/k1→512/k1→64/k3→1024/k3],0.148719,0.389426,false,resize_layer,4
2,33,0.433232,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.147069,0.389426,false,weights,31
2,34,0.412227,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.217712,0.389426,false,weights,15
2,35,0.436839,2716261,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.229342,0.389426,false,weights,47
2,36,0.455841,4132229,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.127534,0.389426,false,weights,55
2,37,0.461327,2165125,6,[1024/k3→128/k3→128/k1→256/k1→768/k1→128/k1],0.142334,0.389426,false,weights,42
2,38,0.454807,2608901,8,[768/k3→256/k3→32/k1→32/k3→64/k1→128/k1→512/k1→512/k1],0.186687,0.389426,false,add_layer,12
2,39,0.450987,2208965,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.210083,0.389426,false,weights,49
2,40,0.470737,3427589,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.144979,0.389426,false,weights,18
2,41,0.473668,3068293,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→64/k3→512/k1],0.182544,0.389426,false,resize_layer,18
2,42,0.423272,10547205,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.156704,0.389426,false,weights,60
2,43,0.448084,2753253,7,[32/k3→1024/k3→64/k3→64/k3→64/k3→1024/k3→128/k3],0.195585,0.389426,false,add_layer,47
2,44,0.417690,3468421,9,[1024/k3→128/k3→768/k3→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.285769,0.389426,false,remove_layer,18
2,45,0.437918,510661,6,[256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.396044,0.389426,false,remove_layer,12
2,46,0.452725,4132229,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.131349,0.389426,false,weights,55
2,47,0.417071,2402853,6,[32/k3→1024/k3→32/k3→64/k3→1024/k3→128/k3],0.254701,0.389426,false,resize_layer,47
2,48,0.450088,2599621,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.184971,0.389426,false,weights,12
2,49,0.471249,8482693,7,[768/k3→64/k3→64/k1→768/k3→768/k3→256/k3→128/k1],0.141926,0.389426,false,resize_layer,6
2,50,0.426841,1847909,5,[32/k3→64/k3→64/k3→1024/k3→128/k3],0.384230,0.389426,false,remove_layer,47
2,51,0.437313,2528005,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.195232,0.389426,false,weights,33
2,52,0.469689,7422853,10,[1024/k3→768/k1→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.104658,0.389426,false,add_layer,23
2,53,0.450555,10285445,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.182361,0.389426,false,weights,6
2,54,0.461414,2570992,6,[69/k3→256/k3→256/k3→256/k1→512/k3→1024/k1],0.200408,0.389426,false,add_layer,33
2,55,0.452767,997765,7,[64/k3→64/k1→768/k3→32/k3→128/k3→128/k3→768/k1],0.211999,0.389426,false,add_layer,61
2,56,0.408751,2165829,6,[1024/k1→32/k3→768/k1→128/k3→256/k3→256/k3],0.291928,0.389426,false,remove_layer,49
2,57,0.464528,5957509,8,[1024/k3→768/k1→64/k3→32/k1→128/k3→512/k1→768/k3→64/k3],0.249497,0.389426,false,remove_layer,23
2,58,0.491589,1637445,6,[768/k3→128/k3→1024/k1→32/k1→128/k1→768/k1],0.150551,0.389426,false,resize_layer,50
2,59,0.406062,845829,5,[64/k3→768/k3→32/k3→128/k3→768/k1],0.357501,0.389426,false,remove_layer,61
2,60,0.433434,10547205,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.142472,0.389426,false,weights,60
2,61,0.459974,2732485,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→768/k1],0.164380,0.389426,false,resize_layer,12
2,62,0.438520,2528005,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.189290,0.389426,false,weights,33
2,63,0.463111,6831493,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.143841,0.389426,false,weights,23
3,0,0.433177,8191237,4,[768/k1→1024/k3→512/k1→1024/k1],0.138838,0.389426,true,champion,27
3,1,0.439216,2402853,6,[32/k3→1024/k3→32/k3→64/k3→1024/k3→128/k3],0.213508,0.389426,false,weights,47
3,2,0.420872,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.184067,0.389426,false,weights,0
3,3,0.445293,17630469,5,[768/k1→1024/k3→512/k1→1024/k1→1024/k3],0.127665,0.389426,false,add_layer,27
3,4,0.446549,2518533,5,[768/k3→128/k3→256/k3→256/k3→1024/k1],0.146664,0.389426,false,add_layer,34
3,5,0.446886,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.098461,0.389426,false,weights,5
3,6,0.438315,1500421,5,[768/k3→128/k3→128/k1→128/k1→768/k1],0.215793,0.389426,false,weights,14
3,7,0.423195,845829,5,[64/k3→768/k3→32/k3→128/k3→768/k1],0.256819,0.389426,false,weights,22
3,8,0.400378,1847909,5,[32/k3→64/k3→64/k3→1024/k3→128/k3],0.294380,0.389426,false,weights,50
3,9,0.447305,14576389,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.110186,0.389426,false,weights,5
3,10,0.445515,16936709,7,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3→512/k3],0.125361,0.389426,false,add_layer,5
3,11,0.444332,10889029,6,[256/k1→768/k3→32/k3→768/k1→768/k3→512/k3],0.195836,0.389426,false,resize_layer,5
3,12,0.427419,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.174466,0.389426,false,weights,0
3,13,0.413279,644485,3,[128/k3→256/k3→1024/k1],0.378510,0.389426,false,remove_layer,34
3,14,0.419756,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.192893,0.389426,false,weights,0
3,15,0.425848,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.173460,0.389426,false,weights,0
3,16,0.416183,744261,5,[64/k3→768/k3→32/k3→32/k3→768/k1],0.293599,0.389426,false,resize_layer,22
3,17,0.449974,2182469,7,[1024/k1→32/k3→768/k1→128/k3→128/k1→256/k3→256/k3],0.197546,0.389426,false,add_layer,10
3,18,0.423669,697349,4,[768/k3→128/k1→128/k1→768/k1],0.408586,0.389426,false,remove_layer,14
3,19,0.434705,150117,4,[32/k3→64/k3→64/k3→128/k3],0.397055,0.389426,false,remove_layer,13
3,20,0.459647,742789,4,[64/k3→768/k3→32/k3→128/k3],0.432565,0.389426,false,remove_layer,59
3,21,0.435104,2165829,6,[1024/k1→32/k3→768/k1→128/k3→256/k3→256/k3],0.226571,0.389426,false,weights,10
3,22,0.420990,1928197,4,[768/k3→128/k3→256/k3→1024/k1],0.184679,0.389426,false,weights,34
3,23,0.422289,8191237,4,[768/k1→1024/k3→512/k1→1024/k1],0.163731,0.389426,false,weights,27
3,24,0.440876,1018469,5,[32/k3→1024/k3→64/k3→64/k3→128/k3],0.228362,0.389426,false,weights,13
3,25,0.468643,850728,6,[69/k1→64/k3→768/k3→32/k3→128/k3→768/k1],0.318871,0.389426,false,add_layer,22
3,26,0.426021,8191237,4,[768/k1→1024/k3→512/k1→1024/k1],0.153497,0.389426,false,weights,27
3,27,0.437020,10547205,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.107132,0.389426,false,weights,42
3,28,0.438851,1022693,6,[32/k3→1024/k3→64/k3→64/k3→64/k1→128/k3],0.224877,0.389426,false,add_layer,13
3,29,0.431093,845829,5,[64/k3→768/k3→32/k3→128/k3→768/k1],0.252499,0.389426,false,weights,59
3,30,0.431119,845829,5,[64/k3→768/k3→32/k3→128/k3→768/k1],0.249366,0.389426,false,weights,22
3,31,0.416374,6810373,6,[768/k3→128/k3→128/k1→128/k1→768/k1→768/k3],0.246469,0.389426,false,add_layer,14
3,32,0.508130,10552104,6,[69/k1→768/k1→1024/k3→512/k1→1024/k1→256/k3],0.154851,0.389426,false,add_layer,30
3,33,0.441453,12412165,5,[256/k1→768/k3→512/k3→768/k3→512/k3],0.198016,0.389426,false,remove_layer,33
