generation,individual,val_loss,n_params,n_layers,architecture,train_loss,best_ever,is_champion,mutation_type,parent_idx
1,0,0.564800,3892133,9,[32/k1→768/k3→64/k1→64/k1→768/k1→512/k3→32/k1→32/k1→64/k1],0.718911,0.407064,false,,
1,1,0.464510,9975813,8,[64/k3→64/k3→512/k3→1024/k1→1024/k1→768/k3→128/k3→64/k1],0.503258,0.407064,false,,
1,2,0.503654,14398469,10,[128/k1→32/k3→32/k3→1024/k3→512/k3→1024/k1→768/k3→512/k1→256/k1→512/k3],0.554437,0.407064,false,,
1,3,0.496841,5390661,10,[768/k3→512/k1→768/k1→32/k1→1024/k3→32/k1→1024/k1→256/k3→256/k3→64/k3],0.525708,0.407064,false,,
1,4,0.444381,1245253,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.470309,0.407064,false,,
1,5,0.450467,9693061,9,[768/k1→768/k3→1024/k1→64/k1→1024/k3→256/k3→32/k1→512/k3→64/k3],0.457940,0.407064,false,,
1,6,0.422455,10921349,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.422673,0.407064,false,,
1,7,0.438121,1456837,5,[512/k3→32/k1→1024/k1→64/k1→1024/k3],0.471363,0.407064,false,,
1,8,0.494011,14644293,8,[32/k3→256/k3→512/k3→512/k1→768/k1→768/k3→1024/k3→32/k3],0.543865,0.407064,false,,
1,9,0.473534,6753477,7,[64/k3→32/k3→512/k1→512/k1→1024/k3→1024/k1→64/k3],0.512777,0.407064,false,,
1,10,0.561569,1987653,10,[64/k1→512/k3→256/k1→32/k3→1024/k3→64/k1→64/k1→32/k3→1024/k1→1024/k1],0.623489,0.407064,false,,
1,11,0.414110,2554757,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.391870,0.407064,false,,
1,12,0.476040,3235525,7,[768/k3→256/k3→32/k1→64/k1→128/k1→512/k1→512/k1],0.514598,0.407064,false,,
1,13,0.613063,27141,4,[32/k1→64/k1→32/k3→32/k1],0.736902,0.407064,false,,
1,14,0.415999,2707909,6,[768/k3→64/k1→768/k3→64/k3→1024/k3→64/k1],0.437655,0.407064,false,,
1,15,0.407064,2564101,4,[768/k3→128/k3→256/k3→1024/k1],0.371899,0.407064,false,,
1,16,0.498389,1552453,9,[768/k1→32/k3→768/k3→1024/k1→64/k1→64/k3→64/k3→64/k3→256/k1],0.577019,0.407064,false,,
1,17,0.527010,1031717,10,[32/k3→1024/k1→32/k1→32/k1→64/k3→256/k3→64/k3→32/k1→256/k1→256/k3],0.607769,0.407064,false,,
1,18,0.510145,4275461,10,[1024/k3→128/k3→768/k3→64/k1→128/k1→32/k1→768/k3→32/k1→512/k3→512/k1],0.526782,0.407064,false,,
1,19,0.440356,672581,4,[512/k1→1024/k1→32/k1→768/k1],0.514976,0.407064,false,,
1,20,0.500614,2828069,7,[32/k1→512/k1→512/k1→256/k3→128/k1→768/k3→64/k3],0.574100,0.407064,false,,
1,21,0.475466,984901,7,[64/k3→256/k3→1024/k1→32/k3→512/k1→32/k1→512/k3],0.536598,0.407064,false,,
1,22,0.464060,533253,5,[128/k1→64/k3→128/k1→256/k3→512/k1],0.523502,0.407064,false,,
1,23,0.491346,7679365,9,[1024/k3→768/k1→64/k3→32/k1→768/k1→128/k3→512/k1→768/k3→64/k3],0.521179,0.407064,false,,
1,24,0.498025,2593861,8,[256/k3→1024/k1→32/k3→1024/k3→32/k1→128/k1→768/k3→64/k3],0.564952,0.407064,false,,
1,25,0.437794,7324229,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.447330,0.407064,false,,
1,26,0.420616,553861,4,[128/k3→1024/k1→128/k1→768/k1],0.482953,0.407064,false,,
1,27,0.511999,3027045,9,[32/k3→1024/k3→512/k1→64/k1→1024/k1→256/k1→64/k3→1024/k3→1024/k1],0.530038,0.407064,false,,
1,28,0.471617,4226757,6,[64/k1→256/k1→1024/k3→64/k1→1024/k3→128/k3],0.527645,0.407064,false,,
1,29,0.486710,5363781,10,[1024/k1→64/k1→768/k1→256/k3→128/k1→1024/k3→128/k3→768/k3→32/k1→128/k1],0.584993,0.407064,false,,
1,30,0.531221,1138341,8,[128/k1→32/k3→128/k3→256/k1→256/k1→128/k1→768/k3→32/k1],0.605206,0.407064,false,,
1,31,0.433628,14599941,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.405823,0.407064,false,,
1,32,0.441975,6391557,9,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→512/k3→256/k1→128/k3],0.426691,0.407064,false,,
1,33,0.411814,2739973,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.388983,0.407064,false,,
1,34,0.559060,1090021,9,[32/k3→512/k3→32/k1→768/k3→64/k1→64/k1→32/k1→256/k1→256/k3],0.612553,0.407064,false,,
1,35,0.465556,16351493,9,[512/k1→768/k3→256/k3→64/k1→768/k1→1024/k1→1024/k3→64/k1→1024/k3],0.477910,0.407064,false,,
1,36,0.414262,3238917,4,[512/k1→1024/k1→256/k1→1024/k3],0.413609,0.407064,false,,
1,37,0.503416,34789509,9,[512/k3→1024/k3→512/k3→1024/k3→64/k3→256/k3→1024/k1→1024/k3→1024/k3],0.552801,0.407064,false,,
1,38,0.496500,2588229,9,[64/k3→256/k1→768/k3→64/k3→128/k3→512/k1→64/k1→64/k3→768/k1],0.564093,0.407064,false,,
1,39,0.502270,3571141,9,[64/k1→256/k3→128/k3→256/k1→64/k3→256/k1→1024/k3→256/k1→128/k3],0.552749,0.407064,false,,
1,40,0.480105,11062213,10,[256/k3→512/k1→256/k1→128/k3→256/k1→256/k3→768/k3→768/k1→1024/k3→64/k1],0.494225,0.407064,false,,
1,41,0.502436,641093,7,[512/k1→32/k3→64/k3→64/k1→128/k3→128/k1→256/k3],0.540524,0.407064,false,,
1,42,0.409161,3012997,6,[1024/k3→128/k3→128/k1→256/k1→768/k1→128/k1],0.429656,0.407064,false,,
1,43,0.544957,2061925,9,[32/k1→1024/k1→64/k1→1024/k1→512/k1→64/k1→256/k1→512/k1→256/k3],0.614218,0.407064,false,,
1,44,0.555870,1492485,10,[128/k1→512/k1→1024/k1→128/k1→512/k1→128/k3→256/k1→32/k1→32/k3→1024/k1],0.651687,0.407064,false,,
1,45,0.487869,2717637,10,[512/k1→128/k3→768/k3→32/k3→32/k3→1024/k3→32/k3→128/k3→768/k1→256/k1],0.549967,0.407064,false,,
1,46,0.462704,8461445,9,[512/k3→512/k3→256/k3→1024/k3→128/k1→1024/k1→128/k3→64/k3→512/k3],0.417509,0.407064,false,,
1,47,0.448839,2742757,6,[32/k3→1024/k3→64/k3→64/k3→1024/k3→128/k3],0.492456,0.407064,false,,
1,48,0.463118,9292869,8,[768/k3→512/k1→512/k1→32/k1→768/k3→256/k1→768/k3→768/k3],0.493821,0.407064,false,,
1,49,0.462345,2303173,7,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3→256/k3],0.481425,0.407064,false,,
1,50,0.436830,2128197,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.526125,0.407064,false,,
1,51,0.478308,192645,5,[64/k3→128/k3→32/k1→128/k1→128/k1],0.587671,0.407064,false,,
1,52,0.527033,5407365,6,[32/k1→128/k1→32/k3→768/k1→768/k3→32/k1],0.604954,0.407064,false,,
1,53,0.509114,963557,8,[128/k3→256/k3→128/k1→32/k3→1024/k3→32/k1→256/k3→32/k1],0.579351,0.407064,false,,
1,54,0.496672,4847429,5,[64/k3→32/k1→32/k3→512/k1→1024/k3],0.564826,0.407064,false,,
1,55,0.409432,4344197,7,[256/k3→1024/k3→128/k1→512/k1→1024/k1→768/k1→128/k1],0.415657,0.407064,false,,
1,56,0.486300,1999941,5,[64/k1→512/k1→64/k1→256/k3→768/k3],0.537485,0.407064,false,,
1,57,0.518231,992165,6,[32/k1→128/k3→768/k3→32/k1→128/k1→256/k1],0.634717,0.407064,false,,
1,58,0.535232,2834309,8,[64/k1→128/k1→32/k1→64/k3→512/k3→256/k1→256/k3→768/k3],0.614418,0.407064,false,,
1,59,0.417457,3384037,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.451876,0.407064,false,,
1,60,0.436667,10617861,5,[768/k1→1024/k3→512/k1→1024/k1→256/k3],0.346885,0.407064,false,,
1,61,0.444879,1046533,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.512855,0.407064,false,,
1,62,0.516587,10559173,10,[64/k3→256/k3→128/k3→1024/k1→256/k1→128/k3→128/k1→1024/k3→1024/k1→768/k3],0.538314,0.407064,false,,
1,63,0.478730,7469285,7,[32/k1→512/k3→512/k3→768/k3→1024/k1→64/k3→512/k1],0.556383,0.407064,false,,
2,0,0.441300,2564101,4,[768/k3→128/k3→256/k3→1024/k1],0.255397,0.399137,true,champion,15
2,1,0.441039,10921349,7,[768/k3→64/k3→64/k1→768/k3→768/k3→512/k3→128/k1],0.309380,0.399137,false,weights,6
2,2,0.427907,2739973,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.289360,0.399137,false,weights,33
2,3,0.431094,3450085,7,[512/k3→256/k1→256/k1→512/k1→256/k3→512/k3→32/k1],0.367691,0.399137,false,add_layer,59
2,4,0.438537,1245253,6,[64/k3→768/k1→512/k1→512/k1→64/k3→256/k3],0.383902,0.399137,false,weights,4
2,5,0.432012,2739973,5,[256/k3→256/k3→256/k1→512/k3→1024/k1],0.276989,0.399137,false,weights,33
2,6,0.438464,2554757,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.280036,0.399137,false,weights,11
2,7,0.449001,11701509,10,[256/k3→256/k3→512/k1→64/k3→768/k3→768/k1→768/k3→512/k3→256/k1→128/k3],0.343674,0.399137,false,add_layer,32
2,8,0.413307,672581,4,[512/k1→1024/k1→32/k1→768/k1],0.408103,0.399137,false,weights,19
2,9,0.429175,2128197,6,[768/k3→128/k3→128/k1→32/k1→128/k1→768/k1],0.375509,0.399137,false,weights,50
2,10,0.419886,9029701,7,[768/k3→512/k1→32/k1→768/k3→256/k1→768/k3→768/k3],0.426483,0.399137,false,remove_layer,48
2,11,0.414382,450821,3,[128/k3→1024/k1→128/k1],0.419452,0.399137,false,remove_layer,26
2,12,0.462184,7225861,6,[256/k1→768/k3→512/k3→768/k1→128/k3→512/k3],0.268736,0.399137,false,resize_layer,31
2,13,0.443821,2564101,4,[768/k3→128/k3→256/k3→1024/k1],0.250781,0.399137,false,weights,15
2,14,0.426966,1046533,6,[64/k3→768/k3→32/k3→128/k3→128/k3→768/k1],0.410123,0.399137,false,weights,61
2,15,0.444258,2554757,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.271665,0.399137,false,weights,11
2,16,0.460475,14599941,6,[256/k1→768/k3→512/k3→768/k1→768/k3→512/k3],0.265233,0.399137,false,weights,31
2,17,0.436514,2982533,5,[512/k3→1024/k1→1024/k1→64/k1→1024/k3],0.269584,0.399137,false,resize_layer,7
2,18,0.419768,3384037,6,[512/k3→256/k1→512/k1→256/k3→512/k3→32/k1],0.342980,0.399137,false,weights,59
2,19,0.438532,7324229,8,[768/k3→512/k1→32/k1→768/k1→512/k1→1024/k3→512/k1→256/k1],0.323602,0.399137,false,weights,25
2,20,0.466182,12222341,9,[512/k3→512/k3→256/k3→1024/k3→128/k1→1024/k1→512/k3→64/k3→512/k3],0.308328,0.399137,false,resize_layer,46
2,21,0.445040,1712837,6,[1024/k1→32/k3→64/k3→768/k1→128/k3→256/k3],0.394071,0.399137,false,remove_layer,49
2,22,0.442170,2554757,5,[768/k3→512/k1→128/k3→64/k1→768/k3],0.268921,0.399137,false,weights,11
